广州市	510000	广东	y
(206号-电视塔岗西侧)	510010	广州市	n
(无门牌,铁路以南)	510010	广州市	n
公园120号	510010	广州市	n
广园西路  单1-197号	510010	广州市	n
黑山3-9街	510010	广州市	n
黑山北街	510010	广州市	n
黑山新村1-2街	510010	广州市	n
环市西路  单101-189号	510010	广州市	n
环市中路	510010	广州市	n
环市中路(191-209-电视	510010	广州市	n
解放北路	510010	广州市	n
流花路63-119号  流花	510010	广州市	n
流花新街	510010	广州市	n
人民北路  单903-905号	510010	广州市	n
双102-204号	510010	广州市	n
双2-198号	510010	广州市	n
双682-700号	510010	广州市	n
塔岗西侧马路)	510010	广州市	n
王圣堂	510010	广州市	n
站南路	510010	广州市	n
站前横路	510010	广州市	n
站西路  1-30号	510010	广州市	n
站西南街	510010	广州市	n
安成新街	510030	广州市	n
安怀里	510030	广州市	n
安居里	510030	广州市	n
白莲塘巷	510030	广州市	n
白沙居	510030	广州市	n
百岁坊	510030	广州市	n
北京路  单229-367号	510030	广州市	n
秉仁巷	510030	广州市	n
秉政街	510030	广州市	n
步云里	510030	广州市	n
仓边路	510030	广州市	n
昌兴街	510030	广州市	n
长胜里	510030	广州市	n
长泰里	510030	广州市	n
长泰新横巷	510030	广州市	n
长泰新巷	510030	广州市	n
长塘街	510030	广州市	n
长兴横	510030	广州市	n
长兴里	510030	广州市	n
朝观街	510030	广州市	n
朝天坊	510030	广州市	n
朝天巷	510030	广州市	n
朝阳里	510030	广州市	n
陈家巷	510030	广州市	n
承平里	510030	广州市	n
翠花巷	510030	广州市	n
达名里	510030	广州市	n
大北新街	510030	广州市	n
大坑渠	510030	广州市	n
大马站	510030	广州市	n
大石3-4巷	510030	广州市	n
大石街	510030	广州市	n
大塘街	510030	广州市	n
大有仓	510030	广州市	n
担干巷	510030	广州市	n
德仁里	510030	广州市	n
德旺坊	510030	广州市	n
德香园	510030	广州市	n
德政东街	510030	广州市	n
德政南路	510030	广州市	n
德政巷	510030	广州市	n
德政新街	510030	广州市	n
德政中路  单211-363号	510030	广州市	n
登云里	510030	广州市	n
东风中路  单285-543号	510030	广州市	n
东小巷	510030	广州市	n
都府街	510030	广州市	n
恩荣里	510030	广州市	n
冯家巷	510030	广州市	n
佛巷	510030	广州市	n
福恩里	510030	广州市	n
福积里	510030	广州市	n
福乐里	510030	广州市	n
福庆小巷	510030	广州市	n
福仁小巷	510030	广州市	n
福至里	510030	广州市	n
福榕坊	510030	广州市	n
府前路	510030	广州市	n
府学西街	510030	广州市	n
高华里	510030	广州市	n
公园路	510030	广州市	n
关帝右巷	510030	广州市	n
关家巷	510030	广州市	n
关兴巷	510030	广州市	n
广大1-2巷	510030	广州市	n
广大路	510030	广州市	n
广福巷	510030	广州市	n
广仁路	510030	广州市	n
广卫路	510030	广州市	n
广中路	510030	广州市	n
广州起义路  单161-327号	510030	广州市	n
桂香街	510030	广州市	n
桂子营	510030	广州市	n
海凌巷	510030	广州市	n
豪贤路  单115-201号	510030	广州市	n
和安里	510030	广州市	n
和厚里	510030	广州市	n
红莲塘	510030	广州市	n
红胜坊	510030	广州市	n
后楼房上街	510030	广州市	n
后楼房下街	510030	广州市	n
后巷	510030	广州市	n
花生巷	510030	广州市	n
花园角	510030	广州市	n
华宁里	510030	广州市	n
华庆里	510030	广州市	n
黄花巷	510030	广州市	n
黄玉巷	510030	广州市	n
黄坭巷	510030	广州市	n
惠新东街	510030	广州市	n
惠新西街	510030	广州市	n
惠新中街	510030	广州市	n
会同里	510030	广州市	n
机窝	510030	广州市	n
机巷	510030	广州市	n
积厚坊	510030	广州市	n
吉庆西	510030	广州市	n
吉祥路	510030	广州市	n
吉云巷	510030	广州市	n
纪纲街	510030	广州市	n
纪家巷	510030	广州市	n
嘉禾里	510030	广州市	n
江家巷	510030	广州市	n
教育路	510030	广州市	n
节度书院	510030	广州市	n
解放北路  单503-905号	510030	广州市	n
金安里	510030	广州市	n
金和里	510030	广州市	n
金鱼塘	510030	广州市	n
金鱼西1-3巷	510030	广州市	n
锦荣街	510030	广州市	n
近圣横	510030	广州市	n
近圣里	510030	广州市	n
近圣南2-3巷	510030	广州市	n
景贤坊	510030	广州市	n
敬福巷	510030	广州市	n
九龙街	510030	广州市	n
九曜坊	510030	广州市	n
旧仓巷	510030	广州市	n
旧东小巷	510030	广州市	n
聚星里	510030	广州市	n
克复右巷	510030	广州市	n
乐善里	510030	广州市	n
雷家巷	510030	广州市	n
厘局街	510030	广州市	n
李白巷	510030	广州市	n
李耳巷	510030	广州市	n
